,business_id,is_open,categories,review_count,city,stars,review_scale,score
34126,b'n2kgJSiB7Q4u7AkDvYfzlg',1,"['Breakfast & Brunch', 'Restaurants']",3,b'Las Vegas',4.5,1,4.5
28715,b'eNO-H8y0_CxkvIkYW_vtAw',1,"['Caribbean', 'Desserts', 'Food', 'Latin American', 'Restaurants']",3,b'Las Vegas',5.0,1,5.0
45205,b'fx7HMO3eIoopvrteM-dtSw',1,"['Restaurants', 'Cafes', 'Food', 'Chinese']",3,b'Las Vegas',3.0,1,3.0
6679,b'2O1GOiDhvXywzysqAJHkdA',1,"['Restaurants', 'Fast Food']",3,b'Las Vegas',2.5,1,2.5
18597,b'OmmYZ3jd3x4AUE26OG91Xw',1,"['Restaurants', 'Buffets']",3,b'Las Vegas',3.5,1,3.5
45373,b'dJp6YuFJRCVHtM7SuY_mMA',1,"['Thai', 'Restaurants']",3,b'Las Vegas',3.5,1,3.5
53122,b'0n3vcq00Z4ijqwwn-INfkg',1,"['Restaurants', 'Food Stands', 'Food', 'Street Vendors', 'Food Trucks']",3,b'Las Vegas',4.5,1,4.5
23737,b'wraKox0MBW_w449VJXVenQ',1,"['Restaurants', 'Chinese', 'Korean']",3,b'Las Vegas',3.5,1,3.5
45527,b'Vjzg0VOQsBWw1TA3iLol-A',1,"['Chinese', 'Restaurants', 'Fast Food']",3,b'Las Vegas',2.5,1,2.5
28345,b'tg1Y3RZfUcK8_GHYhLLxgw',1,"['American (Traditional)', 'Barbeque', 'Event Planning & Services', 'Food', 'Food Stands', 'Street Vendors', 'Restaurants', 'Caterers']",3,b'Las Vegas',5.0,1,5.0
39956,b'ST-IVOkIRq-DAyTD0e9DKw',1,"['Restaurants', 'Filipino']",3,b'Las Vegas',3.5,1,3.5
49301,b'hgeDR7BLRcN24G5LCp-W7w',1,"['Restaurants', 'Mexican']",3,b'Las Vegas',3.0,1,3.0
52917,b'kGqNxTmtKoax_jaStzAuWA',1,"['Vegan', 'Arts & Entertainment', 'Restaurants', 'Vegetarian', 'Festivals']",3,b'Las Vegas',5.0,1,5.0
18935,b'zD_nzOAkRblywoRmIrGpTg',1,"['Soul Food', 'Restaurants']",3,b'Las Vegas',5.0,1,5.0
11335,b'RIHydChuDTrfuuvr8TzH4g',1,"['Restaurants', 'Cafes']",3,b'Las Vegas',2.0,1,2.0
19265,b'OWkS1FXNJbozn-qPg3LWxg',1,"['Food Trucks', 'Pizza', 'Food', 'Restaurants']",3,b'Las Vegas',5.0,1,5.0
53281,b'Eau1XrNg91XSzJRn_sCWTg',1,"['Restaurants', 'Chinese']",3,b'Las Vegas',2.5,1,2.5
46189,b'VJd7GkzW-x3h0j4Pe5mtfw',1,"['Caterers', 'Restaurants', 'Event Planning & Services', 'Food Stands']",3,b'Las Vegas',5.0,1,5.0
4467,b'bizdJ-aiyYd2aBVa_f1RXA',1,"['Restaurants', 'American (New)']",3,b'Las Vegas',4.5,1,4.5
35668,b'-zbJp3NGEhvmNOiFziN8Lg',1,"['Restaurants', 'Mexican', 'Food']",3,b'Las Vegas',4.5,1,4.5
24569,b'hs1SejlpCnNzVwpY2enGCg',1,"['Restaurants', 'Chinese', 'Food', 'Hotels', 'Event Planning & Services', 'Hotels & Travel']",3,b'Las Vegas',3.5,1,3.5
13390,b'PezBzE1cRaPcm4rq6n50KA',1,"['Restaurants', 'Convenience Stores', 'Automotive', 'Pizza', 'Food', 'Gas Stations']",3,b'Las Vegas',2.5,1,2.5
13352,b'cGwfdjfg-IVE5DC_d55xwA',1,"['Asian Fusion', 'Restaurants', 'American (Traditional)', 'American (New)']",3,b'Las Vegas',3.5,1,3.5
5868,b'arCvIfuSjFqqe7-wbo96nQ',1,"['Fast Food', 'Restaurants', 'Burgers']",3,b'Las Vegas',1.5,1,1.5
40997,b'wpHN9iLlhn_z613xJd5uyA',1,"['Sandwiches', 'Fast Food', 'Restaurants']",3,b'Las Vegas',2.0,1,2.0
50894,b'mNb_kxgc922N4f64tqxxbg',1,"['Burgers', 'Sandwiches', 'Restaurants']",3,b'Las Vegas',3.5,1,3.5
35339,b'kWe8Tq19JHqLYo5rtQpjJg',1,"['Restaurants', 'Breakfast & Brunch', 'Cafes']",3,b'Las Vegas',4.5,1,4.5
17599,b'BIwjYT9nqbkF7kbzne-tmQ',1,"['Restaurants', 'Food', 'American (New)']",3,b'Las Vegas',2.0,1,2.0
53699,b'ifmVI9Hw03jPcb5Vkt3GHw',1,"['Restaurants', 'Hot Dogs', 'Food Stands']",3,b'Las Vegas',3.0,1,3.0
44301,b'1aYKH2ea5_dg0bLznqnvQA',1,"['Event Planning & Services', 'Mexican', 'Home Services', 'DJs', 'Tacos', 'Restaurants', 'Caterers', 'Personal Chefs', 'Food', 'Street Vendors', 'Food Stands', 'Food Delivery Services']",3,b'Las Vegas',5.0,1,5.0
1309,b'5OLtY1-xR6LjeH3kJGJ5UA',1,"['Shopping', 'Restaurants', 'Beauty & Spas', 'South African', 'Personal Shopping', 'African', 'Cosmetics & Beauty Supply']",3,b'Las Vegas',4.5,1,4.5
4660,b'Piw03nxAXZF86UYaVrDn1g',1,"['Restaurants', 'Italian']",3,b'Las Vegas',2.5,1,2.5
12329,b'v1qrnmnj_t7OoqBX_jHWVA',1,['Restaurants'],3,b'Las Vegas',2.5,1,2.5
12298,b'Vzax98BCkEM1uYibYCzqPQ',1,"['Steakhouses', 'Seafood', 'Restaurants']",3,b'Las Vegas',4.5,1,4.5
1513,b'jjJ06LdxITpFaz_EQaEvWQ',1,"['Restaurants', 'American (Traditional)']",3,b'Las Vegas',2.5,1,2.5
40357,b'CK62JZi0UY5JeHHQyf0ffQ',1,"['Restaurants', 'Mexican']",3,b'Las Vegas',3.0,1,3.0
52615,b'pNZAIoa4qg1ZIHABxzRbVg',1,"['Restaurants', 'Caterers', 'Buffets', 'Filipino', 'Event Planning & Services']",3,b'Las Vegas',2.5,1,2.5
52533,b'N4r3XX7uH42aXhHvFMkxjA',1,"['Juice Bars & Smoothies', 'Specialty Food', 'Desserts', 'Local Services', 'Mexican', 'Ice Cream & Frozen Yogurt', 'Mailbox Centers', 'Restaurants', 'Candy Stores', 'Gelato', 'Food', 'Shaved Ice']",3,b'Las Vegas',3.0,1,3.0
