,business_id,is_open,categories,review_count,city,stars,review_scale,score
24361,b'e5M4yz-SdPNN_ptL0ACcrg',1,"['Restaurants', 'Pakistani', 'Indian']",3,b'Montreal',4.0,1,4.0
17698,b'87Ijd_FoCxNWNFPfPy98pg',1,"['Restaurants', 'Cafes', 'Delis']",3,b'Montreal',2.5,1,2.5
23213,b'VqZPtv6-Ag17NBpGWYBQQA',1,"['Sandwiches', 'Restaurants']",3,b'Montreal',3.5,1,3.5
7947,b'_9uNm7NNMgiJyzEwLY9ccg',1,"['Pizza', 'Used', 'Vintage & Consignment', 'Fashion', 'Shopping', 'Restaurants']",3,b'Montreal',2.5,1,2.5
7605,b'Y9UvlMorn7G4mxzwN5QpsQ',1,['Restaurants'],3,b'Montreal',3.5,1,3.5
15589,b'4Rp1y8L_zecjHt6AvKtekg',1,"['Restaurants', 'Cajun/Creole']",3,b'Montreal',2.5,1,2.5
29590,b'm7UhhqWvdt_T3tA73qHqnQ',1,"['Restaurants', 'Italian']",3,b'Montreal',2.5,1,2.5
33910,b'Xx1x_ddf34Fru7RmKqOp-g',1,"['Soup', 'Restaurants', 'Salad', 'Sandwiches']",3,b'Montreal',1.5,1,1.5
7455,b'iHW6eAtoyoONYTeI5H1QCw',1,"['Seafood', 'Restaurants']",3,b'Montreal',4.5,1,4.5
35353,b'SyxHyAqVEacDlXC1yEMv0A',1,"['Restaurants', 'Bars', 'Nightlife', 'Pubs']",3,b'Montreal',2.5,1,2.5
40970,b'0WxO9_lzwKIdPF93ucUxQA',1,"['Caterers', 'Grocery', 'Restaurants', 'Event Planning & Services', 'Food Delivery Services', 'Food']",3,b'Montreal',2.5,1,2.5
40890,b'MAcOjLalR6CoxMLy9zohNQ',1,"['Bistros', 'Restaurants']",3,b'Montreal',4.0,1,4.0
4345,b'Z5Dq4_MvsW0-83Oj-2CTeA',1,"['Mediterranean', 'Falafel', 'Restaurants', 'Lebanese', 'Middle Eastern']",3,b'Montreal',3.0,1,3.0
14794,b'm_Zfn3rZriVihppxewzRXA',1,"['Restaurants', 'Italian']",3,b'Montreal',3.5,1,3.5
27790,b'ZeWho7cld53zOr0HSkh-kQ',1,"['Coffee & Tea', 'Food', 'Restaurants', 'Grocery', 'Sandwiches', 'Delis']",4,b'Montreal',3.0,1,3.0
