,business_id,is_open,categories,review_count,city,stars,review_scale,score
50512,b'IUKQ4IUooZQWRhSQdGQI5Q',1,"['Mexican', 'Restaurants']",3,b'Phoenix',3.5,1,3.5
29171,b'_fN2KAvWGIu54iuKMT6neg',1,"['Restaurants', 'Sandwiches']",3,b'Phoenix',2.0,1,2.0
24243,b'NhJQOWrGwcFpbvnTScoY2A',1,"['Restaurants', 'Coffee & Tea', 'Food', 'Sandwiches', 'Cafes']",3,b'Phoenix',4.5,1,4.5
10532,b'WZAENeqQHGRIjSD7VTAmyQ',1,"['American (Traditional)', 'Restaurants', 'Chicken Wings']",3,b'Phoenix',1.5,1,1.5
33568,b'KFRDQ7jDno1HcsxUFBuk3A',1,"['Food', 'Sandwiches', 'Restaurants']",3,b'Phoenix',3.0,1,3.0
12235,b'bWjAFePgWj4op9VwUtKU6w',1,"['Chinese', 'Restaurants', 'Sushi Bars', 'Salad']",3,b'Phoenix',3.5,1,3.5
52954,b'8xsos7GhHO7C5YjRxOYGsA',1,"['Delis', 'Restaurants', 'Sandwiches']",3,b'Phoenix',3.0,1,3.0
19371,b'pTr0UQn7oWW4wxF6qPEXdw',1,"['Restaurants', 'Food', 'Caterers', 'Food Trucks', 'Event Planning & Services', 'Chinese', 'Street Vendors']",3,b'Phoenix',5.0,1,5.0
12085,b'nUYFVybkp6HqY4wf8sNy5A',1,"['Mexican', 'Seafood', 'Restaurants', 'Tacos']",3,b'Phoenix',5.0,1,5.0
5559,b'wdtTVOhK3iqVqlJunhxc2Q',1,"['Food', 'Herbs & Spices', 'Specialty Food', 'Grocery', 'Restaurants', 'Mediterranean']",3,b'Phoenix',5.0,1,5.0
34093,b'TAyCOYufOJ4OtxyHqfdlfA',1,"['Restaurants', 'Burgers', 'Fast Food']",3,b'Phoenix',1.0,1,1.0
24685,b'6fkEgOHqRh9mdFbPKJqz_w',1,"['Restaurants', 'Mexican']",3,b'Phoenix',5.0,1,5.0
24718,b'AVsZE_gMkuBmRLRiqmPqJQ',1,"['Food', 'Restaurants', 'Coffee & Tea', 'Cafes']",3,b'Phoenix',2.5,1,2.5
22466,b'ulvhY9bckuDWF8qey_yM9Q',1,"['Restaurants', 'Mexican']",3,b'Phoenix',1.5,1,1.5
1622,b'Bq0LXZcOrZdkeM4kCy31lw',1,"['Mediterranean', 'Meat Shops', 'Food', 'Specialty Food', 'Grocery', 'Restaurants']",3,b'Phoenix',2.5,1,2.5
40150,b'aaganQgquH_n5CWe80haXQ',1,"['Sandwiches', 'Restaurants', 'Fast Food']",3,b'Phoenix',2.0,1,2.0
34654,b'EHM1LwTW9Y_dO0UyRI2SZw',1,"['Gluten-Free', 'Food', 'Bakeries', 'Desserts', 'Restaurants']",3,b'Phoenix',5.0,1,5.0
28726,b'UD-MGa52sWJLeElUZDTRPA',1,"['Restaurants', 'Middle Eastern', 'Halal']",3,b'Phoenix',5.0,1,5.0
1458,b'bbMJNMWjd7n2ztcE79ZwfQ',1,"['Dance Clubs', 'Adult Entertainment', 'Nightlife', 'Restaurants']",3,b'Phoenix',1.5,1,1.5
53084,b'eWnlj6iTJBhz0wOpmnsD8Q',1,"['Mexican', 'Restaurants']",3,b'Phoenix',4.5,1,4.5
39948,b'tz-YwxcUEuXc9Lpog_gaMg',1,"['Mexican', 'Restaurants']",3,b'Phoenix',3.5,1,3.5
42152,b'kTOkG7nkc_mIEzGqyPoFlA',1,"['Restaurants', 'Mexican']",3,b'Phoenix',3.5,1,3.5
39626,b'45F5VaVlvrrtFikPa2v-tQ',1,"['Fast Food', 'Restaurants', 'Food', 'Ice Cream & Frozen Yogurt']",3,b'Phoenix',2.0,1,2.0
1346,b'wMCpQoNfwX3B3KfJUfdwAg',1,"['Tex-Mex', 'Restaurants', 'Fast Food', 'Mexican']",3,b'Phoenix',4.5,1,4.5
25235,b'vm0EkBK06mIT8yQBD13ONQ',1,"['Seafood', 'Restaurants']",3,b'Phoenix',1.5,1,1.5
10765,b'-CBZRTYGcksmshymcD5iMA',1,"['Hair Salons', 'Barbers', 'Caribbean', 'Beauty & Spas', 'Restaurants', 'Dominican']",3,b'Phoenix',5.0,1,5.0
