business_id,is_open,review_count,city,stars,review_scale,score
b'GDOAg680Gmi6S1MlhU7B1g',1,5,b'Cleveland',2.0,1,2.0
b'Svs-B-a5-13D2dGTKxLsyw',0,4,b'Cleveland',3.0,1,3.0
b'VGRn5KgYKMkqdIKtBUzQQA',1,100,b'Cleveland',3.0,4,12.0
b'lK-wuiq8b1TuU7bfbQZgsg',1,4,b'Cleveland',3.0,1,3.0
b'oHeiAs-mnDJU1_4BD8_5Dg',1,49,b'Cleveland',3.5,4,14.0
b'kyphxFtMIC6w7ktg-fwxWA',1,41,b'Cleveland',2.0,3,6.0
b'rwKSKNRKXVERaltnjVltEA',1,18,b'Cleveland',3.5,3,10.5
b'Y8L-n2BUbCr31by8eYBazg',1,4,b'Cleveland',4.0,1,4.0
b'HIvLwkEYuGRtI17H2x7RuQ',1,114,b'Cleveland',4.0,4,16.0
b'mYeUwj1BlhJTaHd1Uo6PUA',0,3,b'Cleveland',4.0,1,4.0
b'y4giWpQy1TYYX7sZOk9NNg',1,5,b'Cleveland',2.0,1,2.0
b'_wpUUDnJwrn7eSYAjnv7WA',1,60,b'Cleveland',4.0,4,16.0
b'Ub-RrbQWAV_JuVyYixynfg',1,11,b'Cleveland',2.5,2,5.0
b'CvP516pjOdcJJkaMjl8rPw',1,10,b'Cleveland',3.5,2,7.0
b'Ur4eYOFq4qVLHkZJNmcqfQ',1,182,b'Cleveland',4.0,4,16.0
b'TXcVQfX4J0NqKRqgDBgWOA',1,6,b'Cleveland',4.0,1,4.0
b'JYVCQhZU4g-vXrISzUJFUA',0,4,b'Cleveland',2.5,1,2.5
b'2alo9GzeOsbg4jeKYFQmxQ',1,61,b'Cleveland',4.0,4,16.0
b'g9i9xFh9HtPWNLMB3ru3ug',1,62,b'Cleveland',4.5,4,18.0
b'j4170xdQJTwSvXFpsQzWtg',1,64,b'Cleveland',3.5,4,14.0
b'CF2abR1isMzLfRPzjTvIkg',0,3,b'Cleveland',4.5,1,4.5
b'Tm2dKN_-DCdZfF2xMWrX7w',1,187,b'Cleveland',4.0,4,16.0
b'RadvHxEGJLdp9IvNWzv30g',1,10,b'Cleveland',4.0,2,8.0
b'lJU19A8gxyNT1gU8y4pv1w',1,47,b'Cleveland',4.5,3,13.5
b'QAN6zr-IzPD04G9clSGtBw',0,4,b'Cleveland',3.0,1,3.0
b'dUV3Wdu2dB7HMdwS6Hg3JA',0,4,b'Cleveland',5.0,1,5.0
b'sYMAijY2oRrd71KRHKoIDA',0,7,b'Cleveland',3.5,2,7.0
b'XriJk1yVLlBd2rIhk0s_eA',1,9,b'Cleveland',3.0,2,6.0
b'1zKjojtmAHuVOHhtGVxC2Q',1,55,b'Cleveland',4.5,4,18.0
b'uSRgegdEFHHasT5BbRkcFA',0,124,b'Cleveland',4.0,4,16.0
b'ris62LHWvRJt5j9FhHU03Q',1,6,b'Cleveland',2.0,1,2.0
b'dxD8j20MkodieZLc7fZRsA',1,5,b'Cleveland',4.0,1,4.0
b'S57rr30za_KzIUGkFqg3mw',0,83,b'Cleveland',3.5,4,14.0
b'ddlnpDxGDDxGGoG_dVXwiw',1,141,b'Cleveland',4.0,4,16.0
b'QG37umIGrDFzkdmBqFLAYQ',1,25,b'Cleveland',4.0,3,12.0
b'uYl_QBtb7bXhu9sgb4kCrg',1,61,b'Cleveland',3.5,4,14.0
b'CiGefVc9Uc-4H_aNgOMWhQ',0,4,b'Cleveland',4.0,1,4.0
b'nJVDHjoTilGmhLjXAOwiyg',1,14,b'Cleveland',3.0,2,6.0
b'VHchdLl_QVtStqx13vENbA',0,3,b'Cleveland',3.5,1,3.5
b'oxx6LBeBMr3xLkj3jq6rFw',0,9,b'Cleveland',5.0,2,10.0
b'PBSnhhjJ9X2uMRgx4QhTcw',0,8,b'Cleveland',4.0,2,8.0
b'mLjDh0vQYBCY6g9T1HczVw',1,133,b'Cleveland',3.0,4,12.0
b'nDKX55KbERSd_KzYHPgEdw',0,12,b'Cleveland',2.5,2,5.0
b'zKJ4KcZAfTNBIM7OvkVv3A',0,22,b'Cleveland',3.0,3,9.0
b'Y3RWEmu4ykuc2LvG3Qv9Ew',1,20,b'Cleveland',3.5,3,10.5
b'-kTHAUKuzh7cFZjVAW55Ug',1,37,b'Cleveland',2.5,3,7.5
b'WngnIN7vi2KYo4doqK51zA',1,7,b'Cleveland',4.5,2,9.0
b'COszO5BlwqjRbZ_IUqExZg',1,6,b'Cleveland',3.0,1,3.0
b'uKCCJB-OkAtLBunNFDIrxw',1,3,b'Cleveland',3.5,1,3.5
b'osfBW9AMuOqX3aDsA6Rzmg',1,12,b'Cleveland',4.5,2,9.0
b'JX1_mKHN38bjgQP0JB3fkg',0,7,b'Cleveland',3.0,2,6.0
b'DhD1sFqgtjg1rsIWuIeTng',0,30,b'Cleveland',4.0,3,12.0
b'jA3xcba82t8x06H8NzG4VQ',1,105,b'Cleveland',4.0,4,16.0
b'PvyJ2gv3baPyqqmLoGLY-A',0,6,b'Cleveland',3.5,1,3.5
b'uBGPTzye3wrxZPf54AXuFg',1,165,b'Cleveland',3.0,4,12.0
b'FeigEbRVs3d_WoMVUhIT7g',0,41,b'Cleveland',2.5,3,7.5
b'MAXMZMUEprc7rUMeoXrarw',1,26,b'Cleveland',4.5,3,13.5
b'YnvUFIZVvxsL5L4PEmWcUQ',1,13,b'Cleveland',3.5,2,7.0
b'VQGetWNN1f0dMWQ6ehDAVg',1,68,b'Cleveland',3.0,4,12.0
b'CzcfYhCbzPoVEgVZfOgw8A',1,54,b'Cleveland',3.5,4,14.0
b'GCr0eTVnVzFE72c-VJezoQ',1,77,b'Cleveland',4.0,4,16.0
b'Dt-ygvMchiw0wrWpocGOeg',1,38,b'Cleveland',4.5,3,13.5
b'R13VkcyUIU3xG2fRFbBvBA',1,47,b'Cleveland',3.5,3,10.5
b'Ufo0Papm3oyoCfBvnsJH7g',0,223,b'Cleveland',3.5,4,14.0
b'pi1UM_U1hq-DwDYqQRK1Wg',1,6,b'Cleveland',3.0,1,3.0
b'Gf1W5_Gcu_yn4sF28JkVXA',1,13,b'Cleveland',3.0,2,6.0
b'vdloJPM3bSpQTMlwdFek2A',1,365,b'Cleveland',4.0,4,16.0
b'uqKwC97wBEcNdzYw_SBjlw',0,20,b'Cleveland',2.5,3,7.5
b'zo9fKM_Sty6qGztXKoMPmQ',1,16,b'Cleveland',3.0,2,6.0
b'v5MjMhbdEn2fSCtvmXdgZQ',1,16,b'Cleveland',4.0,2,8.0
b'jPrN8a-JW-wA52NPwE0VoQ',1,6,b'Cleveland',3.5,1,3.5
b'wftmt-n8OUA4Ng3bWWH5dw',1,220,b'Cleveland',4.5,4,18.0
b'9Dpk8U2-7bETxk6MSfCM-A',1,13,b'Cleveland',3.0,2,6.0
b'qmm3eoSgi_tCZx9h-zSOFg',0,3,b'Cleveland',4.0,1,4.0
b'GIfZNMP0oIJCje_Xp0Bgrw',1,927,b'Cleveland',3.5,4,14.0
b'91diBNaSiwHr6tUXXJee-Q',0,65,b'Cleveland',4.0,4,16.0
b'B7pVrERldmQmrbkSU_wjgg',1,59,b'Cleveland',4.0,4,16.0
b'dCRjbHW3JCQwQMl6tvjWiw',1,19,b'Cleveland',3.0,3,9.0
b'hiIc3UeDYlWsoT8D3FsczQ',1,6,b'Cleveland',2.0,1,2.0
b'3bM9rmjbaLOrlS--dRzZAw',0,11,b'Cleveland',3.5,2,7.0
b'xJfM3UbnaQkLPEMZgLNuyQ',1,3,b'Cleveland',2.5,1,2.5
b'4xnVH2jTVwrsO88q_jHWWw',1,66,b'Cleveland',4.0,4,16.0
b'kS_xANADJil_EGX6gmMa5A',1,7,b'Cleveland',3.5,2,7.0
b'_y6D2jXsM5S7hWHcIy2NoQ',0,3,b'Cleveland',3.5,1,3.5
b'hVyvFxmlWpGDQviQ4tls9Q',1,5,b'Cleveland',2.0,1,2.0
b'CpGUTcon4cwFxerQUcA22A',0,5,b'Cleveland',4.0,1,4.0
b'6oOIpBNo0h3hrtx8aFCv6g',1,12,b'Cleveland',2.0,2,4.0
b'_KD8Fua-jFlEXHCwVTY-cQ',1,97,b'Cleveland',4.0,4,16.0
b'kXIJwryYY2xDHNnI7jz-WQ',1,191,b'Cleveland',4.5,4,18.0
b'doz0Zf14FVyj4f2knQO30A',1,26,b'Cleveland',1.5,3,4.5
b'aAVydRJ23okd1AHi2AS4Mw',1,38,b'Cleveland',3.0,3,9.0
b'SeOQ32EwCxusSbSTwx4aRA',1,5,b'Cleveland',2.0,1,2.0
b'aL8D2ko6lQ3oGGFeCqSPOw',1,5,b'Cleveland',3.5,1,3.5
b'PMbOqZqr17lbwMD7kZYJnQ',1,27,b'Cleveland',1.5,3,4.5
b'gJ5xSt6147gkcZ9Es0WxlA',1,3,b'Cleveland',3.5,1,3.5
b'aGMU3qMFOQzG0DT2akMfng',1,14,b'Cleveland',3.5,2,7.0
b'MNNplhqyy5APhT4ny4yAVA',0,9,b'Cleveland',4.0,2,8.0
b'DYhGhT9bvsija74RVt8tCQ',0,18,b'Cleveland',3.0,3,9.0
b'1ktw2saTrIr_YJSxQjhnpg',1,16,b'Cleveland',5.0,2,10.0
b'd9fHu9xEmCDs9ShFIWEMZw',1,23,b'Cleveland',4.5,3,13.5
b'rDegp5eG69OVtXo2380p4Q',1,57,b'Cleveland',4.5,4,18.0
b'6TLXwyo6rYgi_Tc2yyEgfQ',1,3,b'Cleveland',2.5,1,2.5
b'OzRGWW5R05kC0pQyUHX3lg',1,97,b'Cleveland',3.5,4,14.0
b'bLi48v8Div6Qm2Fyaw0C6Q',1,327,b'Cleveland',4.0,4,16.0
b'OPIX1wTOll0aZT08Wr6sDw',1,9,b'Cleveland',3.5,2,7.0
b'IoXcQkLpEaiv6S7ITelLWg',1,74,b'Cleveland',4.5,4,18.0
b'8CRoFhyVzple6ji3S1_L-A',0,15,b'Cleveland',4.0,2,8.0
b'g8_Tf84s9E1vh5c3BC7Zzg',1,4,b'Cleveland',5.0,1,5.0
b'IJlEACzNH-i_6Ovppj1KSQ',1,75,b'Cleveland',4.5,4,18.0
b'Jd9L7pNhC982XeCNbPncXg',1,82,b'Cleveland',3.5,4,14.0
b'v21dSJb78W3NM41cC8MMuA',1,6,b'Cleveland',4.5,1,4.5
b'A7i_H252XydtrK7BUTvoog',1,183,b'Cleveland',3.5,4,14.0
b'228mfqUuGbnCs1kiupJXZw',1,152,b'Cleveland',4.5,4,18.0
b'CtYWpX_cy1YdZgoKtS0Tqg',1,17,b'Cleveland',2.0,2,4.0
b'UDiMCb4LKowlozI5mhtO_A',1,72,b'Cleveland',4.0,4,16.0
b'Occo0_pOXAUG-eL6gazeGQ',1,16,b'Cleveland',2.5,2,5.0
b'MHxce6ztMkbYHR8z3Z1q3g',1,128,b'Cleveland',4.0,4,16.0
b'rV6PwAjgpTx5Knr5lYouoQ',1,46,b'Cleveland',3.5,3,10.5
b'0ZPuFZMMYfRa3FRfjddCDA',1,36,b'Cleveland',2.5,3,7.5
b'IXLDpnSLYiyz9tjOrpCFpA',1,101,b'Cleveland',2.5,4,10.0
b'F6a-o0Ig1iSVamX1LbdDEg',0,25,b'Cleveland',4.0,3,12.0
b'iJpmIt-i9-VeChouLcPXbA',1,38,b'Cleveland',3.5,3,10.5
b'TokG1L02Eic6gHRFa0gFYQ',1,7,b'Cleveland',4.5,2,9.0
b'1veVZUawy7IhIc5oDpRRQA',1,385,b'Cleveland',4.5,4,18.0
b'6XkWMEJc3ecJH6HKKjfclA',1,14,b'Cleveland',3.0,2,6.0
b'I2lDmQHDxnUKbEBJuJCW6w',1,69,b'Cleveland',4.0,4,16.0
b'2qTT_zT99eHT4XqEJTOKLA',1,15,b'Cleveland',4.0,2,8.0
b'iIe6PLxsZDVyrKf4ziKxyw',1,78,b'Cleveland',4.5,4,18.0
b'qML8HCfDh7vmIxvbt1QgOg',1,27,b'Cleveland',2.0,3,6.0
b'UtyW9cHs9Z8vIEt8I9aIeA',1,122,b'Cleveland',3.5,4,14.0
b'Lox6-6gfbRXgc4VMMwPb7g',1,40,b'Cleveland',3.5,3,10.5
b'lbUKEN7XVdD_FEF61TlQeA',1,4,b'Cleveland',4.0,1,4.0
b'32DUrg5Thezf1eGsWK6Gdw',1,10,b'Cleveland',5.0,2,10.0
b'taZtZfRU6AG-Q5T0CIS46Q',1,58,b'Cleveland',3.5,4,14.0
b's9CG5XGXJQpP03iYFIHeLA',1,202,b'Cleveland',4.0,4,16.0
b'rg2VaD3zfmW_Itj5NR9iLA',0,8,b'Cleveland',3.5,2,7.0
b'HYN6S4Z7bMR68TF2lX3NIw',1,7,b'Cleveland',2.5,2,5.0
b'o1TZ62VQ8RBoYv2B8v9UUg',1,5,b'Cleveland',2.0,1,2.0
b'J4jxIxv_vgmWHCajos_B8w',1,193,b'Cleveland',4.5,4,18.0
b'mmtjbwUUjw266ulkEnRX3Q',1,7,b'Cleveland',4.0,2,8.0
b'4GkiahNmE3G3-RFn3xrAYg',0,39,b'Cleveland',3.5,3,10.5
b'z7h3_K5lg3RnYieq04C0Vg',1,4,b'Cleveland',1.0,1,1.0
b'RahdAQ5h6_nu50jeR2EKTQ',1,7,b'Cleveland',4.5,2,9.0
b'imyKBHJGFixHJ2bh400b7Q',1,8,b'Cleveland',2.5,2,5.0
b'6eZSIV10RAdZRNXQLE_w6w',1,7,b'Cleveland',2.5,2,5.0
b'WsU35CfVBFzIke3PqkH5eg',1,12,b'Cleveland',3.0,2,6.0
b'2Q542Nf2F84HhdbhGCC7nw',1,3,b'Cleveland',2.5,1,2.5
b'B04F5Jvb4JsZdr0Sc9mbgA',1,13,b'Cleveland',2.5,2,5.0
b'9YYBnnVT1j1Y61e6qb9oZQ',0,9,b'Cleveland',2.0,2,4.0
b'BsvCTCVG7lrzXZ68VyyIcg',1,142,b'Cleveland',4.0,4,16.0
b'NbjeMaUoYT_XUB8PWnwLkw',0,5,b'Cleveland',2.0,1,2.0
b'Ged33xMUz2TpAgzxycGfVw',0,9,b'Cleveland',4.0,2,8.0
b'sFz9UyOTZLMAfSP0yyIODQ',1,14,b'Cleveland',4.0,2,8.0
b'4TFm4xk1y3lSeInw0r0ALA',1,4,b'Cleveland',3.0,1,3.0
b'AFafWFYGKjJZ1pTvjnot2g',1,105,b'Cleveland',3.0,4,12.0
b'x0yfZo7V6WDEE6voAKpC1w',1,3,b'Cleveland',2.5,1,2.5
b'NHersw9tR7dnmlZINOBi9Q',0,6,b'Cleveland',1.0,1,1.0
b'2nn6Sx5EFpzFbsy5cJYHUg',1,147,b'Cleveland',3.5,4,14.0
b'de2E6-wKURd0RLJaq8mrTg',1,15,b'Cleveland',2.5,2,5.0
b'0kyVqnMoflj3DLDecGK89Q',1,16,b'Cleveland',2.5,2,5.0
b'uNsMn44UOp58l62_Jj8bmQ',1,5,b'Cleveland',3.0,1,3.0
b'q0PH5CjXSdmpL-LLgCNdeA',1,29,b'Cleveland',4.5,3,13.5
b'ghNYyKxJsyvOBDFIh8YDDQ',0,5,b'Cleveland',3.0,1,3.0
b'rHX9R1blojU6xK7XhSCSsw',0,3,b'Cleveland',4.5,1,4.5
b'J5tGb5yI9-bMEohZrtf0SQ',1,34,b'Cleveland',3.5,3,10.5
b'Lh-JAmxrTPmFoeBkRNXrZA',1,13,b'Cleveland',3.0,2,6.0
b'yNb_PHvkAMGA0NU25L-kgg',1,4,b'Cleveland',2.0,1,2.0
b'BBpEOprko-9I8bnon9N0ew',1,20,b'Cleveland',3.0,3,9.0
b'ZL-4ejIO3DCgSsdRWwsX-A',1,75,b'Cleveland',4.0,4,16.0
b'xBgQ4T6mhS5VsmK9u6mBcg',1,221,b'Cleveland',4.0,4,16.0
