business_id,is_open,review_count,city,stars,review_scale,score
b'B5EZlEDH6AVDk8tQGHAGqg',1,34,b'Madison',4.0,3,12.0
b'ugdUuApH3pYXggW5qpbALg',1,19,b'Madison',3.5,2,7.0
b'5Y-p9QJLrg2P0I8RjJ9TTQ',1,9,b'Madison',3.0,1,3.0
b'GdnLAgRXt43eISMtJEOZRg',1,76,b'Madison',3.5,4,14.0
b'B7wipW2uZRj7syuQiRTH4A',1,11,b'Madison',4.0,2,8.0
b'3QfcfPCJSo0z2v1bkdUemQ',0,34,b'Madison',4.0,3,12.0
b'Y5Vbtaj_pkrhb99V4Q-53Q',1,19,b'Madison',3.0,2,6.0
b'RMkBZDwEbcv5Ctd-a2A0Lw',1,62,b'Madison',4.0,3,12.0
b'hvazqoUUIZEISCu5CiWKPA',0,5,b'Madison',4.0,1,4.0
b'pNgDhHaeFkWQW71NzT9wzg',1,5,b'Madison',1.0,1,1.0
b'mKT30qU_MlLj4Ps82JAZ8w',1,65,b'Madison',3.0,3,9.0
b'X4w6_iAqN8ZqZ15a7YWPgw',1,34,b'Madison',3.0,3,9.0
b'8fArAA0gwfUbb3uWotd5mw',0,30,b'Madison',3.5,3,10.5
b'PT0N41nUD3CErvn046JEhg',0,3,b'Madison',4.5,1,4.5
b'84WYW7OfV-IXUJk95EL5_Q',1,173,b'Madison',3.5,4,14.0
b'Vbkb2shDxUE8H3PzrFnypA',1,249,b'Madison',3.0,4,12.0
b'3a1w3Ufs9CCC3GJTAV8EpQ',1,6,b'Madison',1.5,1,1.5
b'tORH_LDga3t1bbuluhuxiQ',1,70,b'Madison',3.0,4,12.0
b'-uMpSkdN39sz9MbjkauVTQ',1,6,b'Madison',4.5,1,4.5
b'ecXP80GWT6zZ2qqZHpUCtQ',1,15,b'Madison',4.0,2,8.0
b'KLJmSYpq81fy0gXri-tAAw',0,5,b'Madison',1.5,1,1.5
b'H_og8Pdq2ijAx1QrWjCMNQ',1,5,b'Madison',3.5,1,3.5
b'CfW-088nFNuUF9O7363lwA',1,22,b'Madison',3.0,2,6.0
b'29iErFPoWBTbIVPpp9qSyg',1,34,b'Madison',4.0,3,12.0
b'A4uc3-zbHowQeR_u-7VNOw',0,6,b'Madison',3.5,1,3.5
b'u6sbx5j-06KmPxUwY_mDqg',0,18,b'Madison',3.0,2,6.0
b'6pG7n8Rx_7ZXeQQk690Nsw',1,73,b'Madison',4.0,4,16.0
b'XO9oHMxyT0fklifbmED5LQ',0,19,b'Madison',2.5,2,5.0
b'MOsFhDVav42shCq9-rgejw',1,6,b'Madison',5.0,1,5.0
b'w53wITixOgDFWld-X1mMng',1,14,b'Madison',4.0,2,8.0
b'nsw3tlB-hwz4KbPYcuaSww',1,177,b'Madison',4.5,4,18.0
b'zi_qqjCzkerE2dT-ViE2JA',0,69,b'Madison',3.5,3,10.5
b'sdfmHavBrOZMMsiBv2sg7g',0,230,b'Madison',3.5,4,14.0
b'uC3qwaxsOkdJzpOc0v1Mog',1,351,b'Madison',3.5,4,14.0
b'940rOS3vKpqJMKtrsoatTA',0,7,b'Madison',2.5,1,2.5
b'laERkVWfXVeQcjMSNe65SA',1,12,b'Madison',3.0,2,6.0
b'XFuNeVTGWZ-UOYO58NNmKg',1,80,b'Madison',3.0,4,12.0
b'n28_5ElTCVkhP-9BTgQGgg',1,24,b'Madison',2.0,2,4.0
b'jM6YI5V4fYM7OCA1BLKwqw',1,23,b'Madison',1.5,2,3.0
b'IpLvJEjb4AN8eWq5NE2TVA',0,127,b'Madison',3.5,4,14.0
b'c7ZTyqSG4v4ZVwK3vuDklQ',1,170,b'Madison',4.0,4,16.0
b'nsfOIWfXpJVylXvryjEcNw',0,11,b'Madison',3.5,2,7.0
b'XSpEeRqe1CeIBrDoC-wEzg',1,7,b'Madison',4.5,1,4.5
b'rr-8WQv7TWFP3c83ypc4Cg',1,15,b'Madison',3.5,2,7.0
b'k7-UuMFIGcbgmP6RY0Gn_Q',0,7,b'Madison',3.5,1,3.5
b'duG7f4gq2hS-QW50s-g4zA',1,34,b'Madison',3.5,3,10.5
b'pH9HF3GfJKJAdKDHcoUI4w',0,55,b'Madison',3.5,3,10.5
b'TvhpG74DvdoF4MA0vLlOLw',1,22,b'Madison',4.0,2,8.0
b'Y_wVqdHHkmfxdaHGOPffqQ',1,3,b'Madison',2.5,1,2.5
b'VbRT8CJlnCO9_rd0zW-rUw',1,18,b'Madison',3.5,2,7.0
b'6zZDTZ4ZZEYfN268iPz0uQ',1,117,b'Madison',4.0,4,16.0
b'DhMshA4a0t5wlOq7u0RiMw',1,5,b'Madison',2.0,1,2.0
b'Pzs43Fkub-6A9hA1zqpF_w',0,142,b'Madison',4.0,4,16.0
b'alUQ8F8tom1kTsk4353I2A',0,12,b'Madison',2.5,2,5.0
b'kDCmjSgYGn8MbQsnO5UJnA',1,73,b'Madison',2.5,4,10.0
b'wGPZCNenq5HYb50Ip9NXAw',0,5,b'Madison',4.0,1,4.0
b'hXCoi8OuvdhIA-zXJiPvfg',0,26,b'Madison',2.5,2,5.0
b'Q6_YIK0yUI8HEgqrOIE-1Q',0,16,b'Madison',3.0,2,6.0
b'nD_SylumoZnWevDlWcyGcQ',0,93,b'Madison',4.0,4,16.0
b'3-HFGxmbzSax-NySJ_LzDg',1,173,b'Madison',3.5,4,14.0
b'7OKQ4ENVfPfxtDqFOG7x0g',1,34,b'Madison',2.5,3,7.5
b'wX8btbqgyFh0yHgmyR8ovA',1,142,b'Madison',4.0,4,16.0
b'LOARujcfx-Ty_RUlcnYspg',1,28,b'Madison',1.5,3,4.5
b'5YUoTimGDPbbmRfw6SJgTQ',1,15,b'Madison',3.5,2,7.0
b'OlA7h9oOttqTALudvEUzTg',1,65,b'Madison',4.0,3,12.0
b'jz_q2_QTq_CdDbOtY2FSXg',1,28,b'Madison',3.0,3,9.0
b'sBoifVfW-caU7Hq05QMJgw',0,13,b'Madison',3.0,2,6.0
b'h9ELiqDfwNktCvLEu1DDNg',1,92,b'Madison',3.5,4,14.0
b'7CD4qTysNB-lis85QFS8Tg',0,7,b'Madison',4.0,1,4.0
b'lc9RZgA1FYbaJp4JQ4gm0Q',0,19,b'Madison',4.0,2,8.0
b'WkHVtY5voeLCvv61klhUnA',1,9,b'Madison',2.5,1,2.5
b'-mst4KdHEmeF3Qm0Xfouhw',1,5,b'Madison',2.0,1,2.0
b'fQ1sYWuXtVVOFWhrC9bTrA',1,13,b'Madison',3.0,2,6.0
b'2YlUn3s132hNq5ueGeIiJg',1,212,b'Madison',3.5,4,14.0
b'9qd2RuiGMtVju7tqdp3dsw',0,6,b'Madison',2.0,1,2.0
