,business_id,is_open,categories,review_count,city,stars,review_scale,score
22780,b'vHaXbmEl6K_Lf-w5PFGBSA',1,"['Thai', 'Restaurants', 'Chinese']",3,b'Toronto',2.5,1,2.5
25075,b'BgJsTx5i5iW8Fw5OFv9lnQ',1,"['Food', 'Street Vendors', 'Restaurants', 'Food Stands']",3,b'Toronto',3.0,1,3.0
44633,b'U0S6YqfxHWWJBWPwjUXcLQ',1,"['Restaurants', 'Fast Food', 'Burgers']",3,b'Toronto',2.5,1,2.5
49291,b'4Oz6H1NehcouJfJ3uJMb1g',1,"['Restaurants', 'Sandwiches']",3,b'Toronto',3.0,1,3.0
44550,b'VkC6GKsyrirYtEFlbFPJDQ',1,"['Pizza', 'Restaurants']",3,b'Toronto',2.0,1,2.0
38102,b'xRZK20Iek1_ldmcG9nrHJw',1,"['Fast Food', 'Restaurants', 'Burgers']",3,b'Toronto',2.5,1,2.5
27082,b'YGGMkc3CvLgb3hzyDJ3fSQ',1,"['Restaurants', 'French']",3,b'Toronto',2.5,1,2.5
3151,b'0TBL577zoVCpLKuaxePZ1A',1,"['Event Planning & Services', 'Restaurants', 'Caterers', 'Sandwiches']",3,b'Toronto',2.5,1,2.5
38119,b'Xk4Ad-Q5IF4VWNcddKrhLg',1,"['Bakeries', 'Sandwiches', 'Salad', 'Food', 'Restaurants']",3,b'Toronto',3.5,1,3.5
5729,b'Lw49aJ96ntO_4ddZA-NtDw',1,"['Restaurants', 'Chinese']",3,b'Toronto',3.0,1,3.0
35853,b'HkXWnbO1Ir-iBJld-lfgtA',1,"['Halal', 'Lebanese', 'Middle Eastern', 'Restaurants']",3,b'Toronto',4.5,1,4.5
25169,b'kiBOT50alvcwdwUk6Wc1Rw',1,"['Nightlife', 'Indonesian', 'Cocktail Bars', 'Restaurants', 'Bars']",3,b'Toronto',4.5,1,4.5
13457,b'AOhJfJVuEPUh_in7WHDnzQ',1,"['Sandwiches', 'Restaurants', 'Fast Food']",3,b'Toronto',1.5,1,1.5
3042,b'lN5TlKIjcQIaOICgLFr-XQ',1,"['Restaurants', 'Salad', 'Soup', 'Sandwiches']",3,b'Toronto',3.5,1,3.5
8126,b'qvqEYmiTpzJkXFV77YhT9w',1,"['Breakfast & Brunch', 'Restaurants', 'Bagels', 'Coffee & Tea', 'Food']",3,b'Toronto',2.5,1,2.5
49496,b'4z4vQVymdvX696SI0w2k3A',1,"['Restaurants', 'Pizza']",3,b'Toronto',5.0,1,5.0
35705,b'GFefOKzqRcUs_HzgpZbdAA',1,"['Chicken Wings', 'Restaurants']",3,b'Toronto',2.0,1,2.0
22367,b'O4aaSHOq5x8c4f19Ml0vAQ',1,"['Restaurants', 'Sandwiches']",3,b'Toronto',2.5,1,2.5
35622,b'G5BQqtg1jSAgiUSAIg_5sA',1,"['Chinese', 'Restaurants', 'Seafood']",3,b'Toronto',3.5,1,3.5
49642,b'dEXIKSfbvZq5YapT9SC7dw',1,"['Fast Food', 'Burgers', 'Restaurants', 'Greek']",3,b'Toronto',3.0,1,3.0
44459,b'4QTwtaua8tjc-PuneLXJzw',1,"['Middle Eastern', 'Restaurants', 'Afghan', 'Halal']",3,b'Toronto',4.0,1,4.0
35618,b'dCRd0MAt1Oth3BEUFF08Dg',1,"['Fast Food', 'Restaurants', 'Breakfast & Brunch', 'Burgers']",3,b'Toronto',2.0,1,2.0
29849,b'vCqOyw2f8s6Il3T27Gbwbg',1,"['African', 'South African', 'Chicken Shop', 'Portuguese', 'Restaurants']",3,b'Toronto',4.5,1,4.5
30031,b'r68Ug3Hfbfx7D5k8fCgQig',1,"['Food', 'Breakfast & Brunch', 'Bakeries', 'Coffee & Tea', 'Restaurants', 'Cafes']",3,b'Toronto',3.5,1,3.5
17607,b'5TaPg1Pakpaesn6RtKP5FQ',1,"['Sandwiches', 'Fast Food', 'Restaurants']",3,b'Toronto',4.0,1,4.0
22713,b'EYP47KQm-BR6VMvIOoV0hA',1,"['Juice Bars & Smoothies', 'Food', 'Live/Raw Food', 'Restaurants']",3,b'Toronto',2.5,1,2.5
48776,b'OsmhWqUsRwLmPF6JkRzFbQ',1,"['Fast Food', 'Sandwiches', 'Restaurants']",3,b'Toronto',2.5,1,2.5
48823,b'c7aifX_T8ztb35YlL-pcuw',1,"['Restaurants', 'Seafood', 'Specialty Food', 'Food', 'Grocery']",3,b'Toronto',3.0,1,3.0
22775,b'y32nKiHJCkELY2EmAmGNOA',1,"['Restaurants', 'Pizza']",3,b'Toronto',2.5,1,2.5
9221,b'4zsyBbLzY0lPC1vlvKa9hw',1,"['Bars', 'Nightlife', 'Restaurants']",3,b'Toronto',2.0,1,2.0
3469,b'BgbZbuO3gPqZJucB8YDPbA',1,"['Indian', 'Restaurants', 'Halal', 'Caribbean']",3,b'Toronto',3.5,1,3.5
15253,b'7XvRoTxCn43pa567t6YMAQ',1,"['Fast Food', 'Restaurants']",3,b'Toronto',1.5,1,1.5
10300,b'XZV6pSuJkfsyoT9eJc3dWw',1,"['Restaurants', 'Chicken Shop', 'Sandwiches', 'Chicken Wings']",3,b'Toronto',2.5,1,2.5
5611,b'Osajpu52xFzvMDQoUtuJBg',1,"['Restaurants', 'Poutineries']",3,b'Toronto',2.5,1,2.5
3445,b'fJruVPprYx5nbRe6UbwIvA',1,"['Restaurants', 'Food Delivery Services', 'Mediterranean', 'Food', 'Salad', 'Breakfast & Brunch']",3,b'Toronto',2.5,1,2.5
5615,b'6OjTmyaQqiV-tj1Ncy1jnA',1,"['Chicken Shop', 'Restaurants', 'Halal', 'Burgers']",3,b'Toronto',3.0,1,3.0
3417,b'LddaAj1grB3ErHDMEkWmMw',1,"['Restaurants', 'Chicken Wings', 'Chicken Shop', 'Breakfast & Brunch']",3,b'Toronto',2.5,1,2.5
