business_id,is_open,review_count,city,stars,review_scale,score
b'rDMptJYWtnMhpQu_rRXHng',1,10,b'Phoenix',1.0,1,1.0
b'1WBkAuQg81kokZIPMpn9Zg',1,232,b'Phoenix',3.0,4,12.0
b'iPa__LOhse-hobC2Xmp-Kw',1,34,b'Phoenix',3.0,3,9.0
b'YhV93k9uiMdr3FlV4FHjwA',1,4,b'Phoenix',5.0,1,5.0
b'QkG3KUXwqZBW18A9k1xqCA',1,37,b'Phoenix',2.5,3,7.5
b'5XejqzaFmtkZMstJS5Iy-w',0,37,b'Phoenix',4.0,3,12.0
b'2v-8QQfMLX2PCz-0S6gISQ',1,7,b'Phoenix',2.5,1,2.5
b'M3uV9Y3EDSpy9d4YwyNSAQ',1,66,b'Phoenix',4.0,3,12.0
b'U1ZVgF-kfkvv_rcoe0RglQ',1,172,b'Phoenix',4.5,4,18.0
b'FfI9FOaQqzUxixw6_glt3Q',0,6,b'Phoenix',3.0,1,3.0
b'3b4efqz06QrLQ_w2xLc4pA',0,40,b'Phoenix',3.0,3,9.0
b'irYAkavSVtIEyGOsHK-yPw',1,43,b'Phoenix',3.5,3,10.5
b'_eKvk2GoGKb3CoYolHgRlg',1,88,b'Phoenix',4.5,3,13.5
b'qB15WElGAlI_eGWjn0kT2w',1,18,b'Phoenix',2.0,2,4.0
b'rSCevr5tQJTxPzMIq3n5Gw',0,14,b'Phoenix',2.5,2,5.0
b'to2cGMKdaw7ZHbXMzpfhlA',0,7,b'Phoenix',3.0,1,3.0
b'X2oxkKB-wlu8xV0P8fbfiQ',1,10,b'Phoenix',3.0,1,3.0
b'vhKUBKcOm8zOLxeS3XM9iA',1,67,b'Phoenix',3.0,3,9.0
b'frCxZS7lPhEnQRJ3UY6m7A',1,1694,b'Phoenix',4.0,4,16.0
b'l0WauZ92kRg9bu2oxHj4TQ',1,130,b'Phoenix',4.0,4,16.0
b'Yar8jR2a1XA2JuRKfmNDcw',1,3,b'Phoenix',5.0,1,5.0
b'qVQGfHphxolps16v6g5X-g',0,67,b'Phoenix',3.5,3,10.5
b'Q9zcPQit3OMWoNRLLK7MQg',1,75,b'Phoenix',3.5,3,10.5
b'TolwZ3L28or4E8SVTZUf6Q',0,157,b'Phoenix',4.0,4,16.0
b'3w66rzZq_rjA1kSmVt5Hew',1,6,b'Phoenix',3.5,1,3.5
b'9KzLFQrA_tSBGVDNeZrB8Q',0,3,b'Phoenix',3.5,1,3.5
b'Ld2hhA3q3cdkptwS1fsYEg',1,80,b'Phoenix',4.0,3,12.0
b'r0byBoB7y_IH8uicEvyCqQ',1,5,b'Phoenix',3.0,1,3.0
b'BVYvfJiVcQTl9B311z518w',1,27,b'Phoenix',3.5,2,7.0
b'aRRV_ZbRiD65SIi7vAY-iA',1,3,b'Phoenix',1.0,1,1.0
b'yX0pOWG_Be9TjGnm0aihVA',0,327,b'Phoenix',3.0,4,12.0
b'WaTXG26xbOGffSscvyr-wQ',0,38,b'Phoenix',3.5,3,10.5
b'ahfAFuFHO9tfFkoBIkVdmg',1,95,b'Phoenix',4.5,3,13.5
b'kplbTXzOaUJqP2BwanoYjw',0,38,b'Phoenix',4.5,3,13.5
b'UrX0UEejKhHzk158VxlQzA',1,8,b'Phoenix',4.0,1,4.0
b'gKqzpzg2MmINROrgWqalOg',0,52,b'Phoenix',2.5,3,7.5
b'Ndozr_--5-wzyDJ2T7TfpQ',0,9,b'Phoenix',3.0,1,3.0
b'NihPkBRdA1AixuE_98tIrg',1,31,b'Phoenix',3.0,2,6.0
b'RQdKieW9hqg898d_S2WwRA',1,87,b'Phoenix',3.5,3,10.5
b'1hrX1vHaUgllWH6i876oAw',1,4,b'Phoenix',5.0,1,5.0
b'cTJjTKz2huGZ-ElScC2pSw',1,977,b'Phoenix',4.0,4,16.0
b'Q47FjaMLjI3v6yo-PHIebQ',1,5,b'Phoenix',3.0,1,3.0
b'tylsscXmLq03-DzGI36bIA',1,6,b'Phoenix',3.0,1,3.0
b'L7os7OGSQ2_evJRLvQg9dw',1,11,b'Phoenix',3.5,2,7.0
b'Lvr6DdVkFI8IMGfRvUcXQA',1,3,b'Phoenix',1.0,1,1.0
b'tvlHgHfBsmmNFbnFE06sgA',0,7,b'Phoenix',4.0,1,4.0
b'Lqp3uwGJU6CHyys-eerMmQ',0,153,b'Phoenix',4.0,4,16.0
b'Lv2V5KqRlCl7_S6LKWkGlg',1,9,b'Phoenix',3.0,1,3.0
b'cOWXtCz7F9GQhPIks8gm6Q',0,268,b'Phoenix',4.5,4,18.0
b'7m1Oa1VYV98UUuo_6i0EZg',1,1019,b'Phoenix',4.5,4,18.0
b'LcYrqMhUO_TITSXFk_SjJA',1,115,b'Phoenix',3.5,4,14.0
b'iGvnkEz2efD9q-Z7ZcasWQ',1,8,b'Phoenix',1.5,1,1.5
b'-voRkfS42YKYsrJ9DV0FxQ',1,28,b'Phoenix',2.5,2,5.0
b'ZVtjS8Hvq2a6SxHxlehPGg',1,159,b'Phoenix',4.5,4,18.0
b'sfGYIlU3ji6V3c0aWyny5A',0,12,b'Phoenix',4.0,2,8.0
b'piHJq_NDrOh5SYk3AyQVOg',1,238,b'Phoenix',3.0,4,12.0
b'GmLkyWb_zYrTEp1SpWxHIA',0,71,b'Phoenix',4.5,3,13.5
b'4NfjvMzUG5rbkxtPg-8pkw',1,26,b'Phoenix',2.5,2,5.0
b'nwHd2MbIGz0SNG8GpFjekw',1,334,b'Phoenix',4.0,4,16.0
b'YWjfWHizWgHSsAPGfQChXw',1,23,b'Phoenix',2.0,2,4.0
b'qgHx71_UAWHRySTPMaAJqw',1,53,b'Phoenix',3.0,3,9.0
b'm8qJtl3l6QXJMnNxN6LQRQ',1,9,b'Phoenix',3.5,1,3.5
b'9VEJkUd0eHIlKmCu0flvBw',1,7,b'Phoenix',3.5,1,3.5
b'STmoasVuj_h-XYqqPEoxTg',1,12,b'Phoenix',1.5,2,3.0
b'T-KniGykrZ46ZC9plOTspw',1,460,b'Phoenix',4.5,4,18.0
b'9y1uLUHxZ3m_4KzydQj9YQ',1,30,b'Phoenix',3.0,2,6.0
b'FTdEGDDVRrDmVbzHmC91wQ',1,60,b'Phoenix',4.0,3,12.0
b'xsFeeqZS6PoVvwseEefzEw',0,113,b'Phoenix',3.5,4,14.0
b'XAt9Km4EIM6EE7LXwfB2Vg',1,11,b'Phoenix',3.0,2,6.0
b'-LVpf-mKjrWT51JgCY3gRQ',0,105,b'Phoenix',4.0,4,16.0
b'3l5TusofKjr8rk6-DDtuoQ',0,130,b'Phoenix',3.5,4,14.0
b'83cVpTJNyzv9lJ20vzBgdg',1,80,b'Phoenix',4.0,3,12.0
b'aIZQF2UCLv6ru-zsPK4H2Q',1,349,b'Phoenix',4.5,4,18.0
b'2ADoawEfSAZpnQSwVEo5Ig',1,15,b'Phoenix',2.0,2,4.0
b'ZDdEtIFhLsoydDvB8joYrA',0,6,b'Phoenix',3.5,1,3.5
b'jFVcpqn1Q85AEDGQDv91mg',1,17,b'Phoenix',4.0,2,8.0
b'sgyc0SN3pWJWTYc9w-PVmQ',0,5,b'Phoenix',3.5,1,3.5
b'p9uc6E8UR9Y3Bftj8g5AZA',1,12,b'Phoenix',2.0,2,4.0
b'4c1IWqXjJxcdV9Y91xsJNQ',1,5,b'Phoenix',3.5,1,3.5
b'lf-knzhWrrzumHIEoBntxg',0,12,b'Phoenix',3.5,2,7.0
b'04Iq42i8lm50Lvdj1j3DCQ',0,4,b'Phoenix',3.0,1,3.0
b'5l8S70308R_Osh3hm2zj3Q',1,132,b'Phoenix',4.0,4,16.0
b'pxv5jBUOgsg6Rf6Z88e4mg',1,337,b'Phoenix',4.0,4,16.0
b'fbUKZMGNdzQbb3zksGlQXg',0,9,b'Phoenix',3.0,1,3.0
b'KZ9v7M1A5t6OMDghR64_5g',0,8,b'Phoenix',3.0,1,3.0
b'sU1sSEOHvd4ex72miOKMEQ',1,25,b'Phoenix',3.5,2,7.0
