business_id,categories
b'PfOCPjBrlQAnz__NXj9h_w',"['American (New)', 'Nightlife', 'Bars', 'Sandwiches', 'American (Traditional)', 'Burgers', 'Restaurants']"
b'o9eMRCWt5PkpLDE0gOPtcQ',"['Italian', 'Restaurants']"
b'XOSRcvtaKc_Q5H1SAzN20A',"['Breakfast & Brunch', 'Gluten-Free', 'Coffee & Tea', 'Food', 'Restaurants', 'Sandwiches']"
b'fNMVV_ZX7CJSDWQGdOM8Nw',"['Restaurants', 'American (Traditional)']"
b'l09JfMeQ6ynYs5MCJtrcmQ',"['Italian', 'French', 'Restaurants']"
b'Gu-xs3NIQTj3Mj2xYoN2aw',"['French', 'Food', 'Bakeries', 'Restaurants']"
b'1K4qrnfyzKzGgJPBEcJaNQ',"['Tiki Bars', 'Nightlife', 'Mexican', 'Restaurants', 'Bars']"
b'Dj0S-Oe4ytRJzMGUPgYUkw',"['Soup', 'Salad', 'Sandwiches', 'Restaurants']"
b'gAy4LYpsScrj8POnCW6btQ',"['Food', 'American (Traditional)', 'Coffee & Tea', 'Restaurants']"
b'nbhBRhZtdaZmMMeb2i02pg',"['Restaurants', 'Breakfast & Brunch']"
b'1_3nOM7s9WqnJWTNu2-i8Q',"['Arts & Entertainment', 'Festivals', 'Restaurants', 'French', 'Gastropubs']"
b'FXHfcFVEfI1vVngW2gVOpw',"['Coffee & Tea', 'Restaurants', 'Food', 'Mediterranean', 'Tea Rooms']"
b'tRVx2c89coruPRwYhGTcTw',"['Nightlife', 'Izakaya', 'Comfort Food', 'Cocktail Bars', 'Asian Fusion', 'Bars', 'Japanese', 'Restaurants', 'Gastropubs', 'Tapas/Small Plates']"
b'BnuzcebyB1AfxH0kjNWqSg',"['Restaurants', 'Italian', 'Seafood']"
b'rDMptJYWtnMhpQu_rRXHng',"['Fast Food', 'Burgers', 'Restaurants']"
b'1WBkAuQg81kokZIPMpn9Zg',"['Burgers', 'Restaurants']"
b'-ooEO2YqDQVYNHnSF2BPfw',"['Italian', 'Restaurants']"
b'Pd52CjgyEU3Rb8co6QfTPw',"['Nightlife', 'Bars', 'Barbeque', 'Sports Bars', 'American (New)', 'Restaurants']"
b'4srfPk1s8nlm1YusyDUbjg',"['Fast Food', 'Restaurants', 'Sandwiches']"
b'n7V4cD-KqqE3OXk0irJTyA',"['Arcades', 'Arts & Entertainment', 'Gastropubs', 'Restaurants', 'American (New)']"
b'c_XbaJqhm-5ycSBOkVUBmg',"['Restaurants', 'Mexican']"
b'spDZkD6cp0JUUm6ghIWHzA',"['Restaurants', 'Chinese']"
b'EJFdWX908N8Yc2XG0Lky8A',"['Cafes', 'Restaurants']"
b'F31RycVVooeIOp9jsXmg6g',"['Breakfast & Brunch', 'Diners', 'Restaurants', 'Cafes', 'British']"
b'iPa__LOhse-hobC2Xmp-Kw',"['Restaurants', 'Burgers', 'Fast Food']"
b'o1fTwfqN0sDFNpV1CkOPPg',"['Restaurants', 'Sandwiches', 'Coffee & Tea', 'Food']"
b'-nHkhiuerqmfBG3v2v9O-g',"['Breakfast & Brunch', 'Bagels', 'Restaurants', 'Bakeries', 'Sandwiches', 'Food']"
b'kKx8iCJkomVQBdWHnmmOiA',"['Restaurants', 'Pizza']"
b'B5EZlEDH6AVDk8tQGHAGqg',"['American (Traditional)', 'Nightlife', 'Dive Bars', 'Restaurants', 'Bars']"
b'VXH7zXcZzXlmAVN8GSjGRQ',"['Imported Food', 'Specialty Food', 'Thai', 'Ethnic Food', 'Food', 'Restaurants']"
