,business_id,attributes.RestaurantsPriceRange2,stars,review_count
0,b'PfOCPjBrlQAnz__NXj9h_w',2.0,3.5,116
1,b'o9eMRCWt5PkpLDE0gOPtcQ',3.0,4.0,5
2,b'XOSRcvtaKc_Q5H1SAzN20A',1.0,4.5,3
3,b'fNMVV_ZX7CJSDWQGdOM8Nw',1.0,3.5,7
4,b'l09JfMeQ6ynYs5MCJtrcmQ',3.0,3.0,12
5,b'Gu-xs3NIQTj3Mj2xYoN2aw',2.0,3.5,34
6,b'1K4qrnfyzKzGgJPBEcJaNQ',2.0,3.5,39
7,b'Dj0S-Oe4ytRJzMGUPgYUkw',,2.0,4
8,b'gAy4LYpsScrj8POnCW6btQ',,3.5,6
9,b'nbhBRhZtdaZmMMeb2i02pg',1.0,5.0,3
10,b'1_3nOM7s9WqnJWTNu2-i8Q',2.0,3.0,8
11,b'FXHfcFVEfI1vVngW2gVOpw',2.0,4.0,55
12,b'tRVx2c89coruPRwYhGTcTw',2.0,3.5,78
13,b'BnuzcebyB1AfxH0kjNWqSg',2.0,3.5,25
14,b'rDMptJYWtnMhpQu_rRXHng',1.0,1.0,10
15,b'1WBkAuQg81kokZIPMpn9Zg',2.0,3.0,232
16,b'-ooEO2YqDQVYNHnSF2BPfw',3.0,4.5,11
17,b'Pd52CjgyEU3Rb8co6QfTPw',2.0,4.0,13
18,b'4srfPk1s8nlm1YusyDUbjg',1.0,2.5,6
19,b'n7V4cD-KqqE3OXk0irJTyA',2.0,3.0,349
20,b'c_XbaJqhm-5ycSBOkVUBmg',1.0,3.5,33
21,b'spDZkD6cp0JUUm6ghIWHzA',2.0,3.0,80
22,b'EJFdWX908N8Yc2XG0Lky8A',2.0,4.0,5
23,b'F31RycVVooeIOp9jsXmg6g',1.0,4.5,16
24,b'iPa__LOhse-hobC2Xmp-Kw',1.0,3.0,34
25,b'o1fTwfqN0sDFNpV1CkOPPg',1.0,3.5,16
26,b'-nHkhiuerqmfBG3v2v9O-g',1.0,2.5,5
27,b'kKx8iCJkomVQBdWHnmmOiA',2.0,2.5,4
28,b'B5EZlEDH6AVDk8tQGHAGqg',1.0,4.0,34
29,b'VXH7zXcZzXlmAVN8GSjGRQ',1.0,3.0,5
30,b'YhV93k9uiMdr3FlV4FHjwA',,5.0,4
31,b'aFBCmJUYrPeol_P75QX7Jw',2.0,3.0,88
32,b'F0fEKpTk7gAmuSFI0KW1eQ',3.0,1.5,3
33,b'dTWfATVrBfKj7Vdn0qWVWg',,3.0,6
34,b'HAX1zec191t7QkT2sBZ76A',,3.0,4
35,b'VdlPZg2NAu8t8GkdbPLecg',2.0,3.5,263
36,b'c7X2SdKxVJMaOnFROO8WEg',2.0,4.5,21
37,b'1nhf9BPXOBFBkbRkpsFaxA',3.0,2.0,6
38,b'QkG3KUXwqZBW18A9k1xqCA',2.0,2.5,37
39,b'sJ0MYSAIVK28cMzh-s-NPA',2.0,2.5,34
40,b'gIVjdDWRnS1yDVpPF3oUeg',1.0,4.0,8
41,b'veXxt8rGY_RJPpA5QkHT9Q',2.0,3.5,97
42,b'T5CdfrZWw-uW9Y5L_sddqQ',1.0,3.0,9
43,b'5XejqzaFmtkZMstJS5Iy-w',1.0,4.0,37
44,b'Wpt0sFHcPtV5MO9He7yMKQ',1.0,2.0,20
45,b'WUiDaFQRZ8wKYGLvmjFjAw',2.0,3.5,76
46,b'nAFI7JZEhmvUKMKSA_5Chg',3.0,2.5,7
47,b'5q6Xh-UcJa78bp6dzyaE7w',1.0,4.5,373
48,b'MTH-AcNyWfsBa9sXp04HcQ',1.0,3.5,82
49,b'nigYwB_m1TQ1WosjSWi-Hw',2.0,3.0,5
50,b'W1Yr6c2XDx_RBjb6WsV-aQ',2.0,4.0,140
51,b'SJAggfn8ta7XLD98XD2mkw',2.0,3.0,11
52,b'KX_4sldJKgkEWaYVfSWjwQ',2.0,3.5,11
53,b'vzx1WdVivFsaN4QYrez2rw',1.0,3.0,3
54,b'-McKyjNSqS1h9dDJH3dyUA',2.0,3.5,15
55,b'JmKgz6n7zn24F-WkgT-kiA',1.0,4.5,7
56,b'zV_aclADLjx2KOql9F_FTw',1.0,3.0,4
57,b'yh-NN-dCaxxleNcI-_bsUA',1.0,2.5,7
58,b'bA21m-qbgN_GNR6g-AlfYw',1.0,3.5,30
59,b'd7AtQMYDUh40DeJinidFNQ',,3.5,3
60,b'z1hRMOmEvw7jx4cq4-8Yfw',2.0,3.5,6
61,b'UlI0TksGFiIXtcbtg2KalQ',2.0,2.5,38
62,b'Uy3_5nLo3sYkAuSX6mjdmg',2.0,4.5,33
63,b'mLP-jIIRdoaYM7fJqqFurw',1.0,4.0,53
64,b'GDOAg680Gmi6S1MlhU7B1g',,2.0,5
65,b'2v-8QQfMLX2PCz-0S6gISQ',2.0,2.5,7
66,b't8yi2l7pZF43Rlf9_lHdDA',2.0,2.5,29
67,b'AXb5gCwqHl-_v6ZIMb1mXQ',2.0,3.0,43
68,b'5GAXZ7gJ81TSR0-Q6AMp_A',1.0,4.0,7
69,b'kyXEnWKQGWSThY6EcjORuw',1.0,4.0,109
70,b'M3uV9Y3EDSpy9d4YwyNSAQ',2.0,4.0,66
71,b'nSD-uxCMb745bH3dxoko9Q',1.0,4.0,13
72,b'vMO2vNyWLuxumso7t3rbYw',2.0,4.0,5
73,b'NOHh2pgOTUBqp82IQlRQMQ',2.0,3.5,110
74,b'Qv0OEziLJwyAqcgtrTsA4w',1.0,3.5,50
75,b'aD4qhONCE5catMdQC4sqwg',2.0,3.5,10
76,b'akRtfcCezswizRIaAqJ4fQ',1.0,2.0,9
77,b'5BjhQ_Tmm9ppK4UGrMr09g',2.0,4.0,43
78,b'XguKrY0dAuaK1W6HUlUQ1Q',1.0,3.5,29
79,b'Rh2smrKvcamnP8VBUgMI0Q',2.0,3.5,165
80,b'Svs-B-a5-13D2dGTKxLsyw',,3.0,4
81,b'O_UC_izJXcAmkm6HlEyGSA',2.0,4.0,363
82,b'_ltkVUDwaI0MTxv8g21k1A',,3.0,3
83,b'by_hdCLqAMHW8EEfPYjktA',2.0,3.0,6
84,b'6PwKC0dqP9uI85FEP86iPQ',2.0,3.5,164
85,b'WZdHNL9F0VWPRGLf1GQcbA',1.0,2.5,28
86,b'ww_MXl-qDLeYdYTZZ9KWbA',1.0,4.0,162
87,b'd4GBb0eVWVdfL5aJx3UCRg',2.0,3.5,23
88,b'Mmh4w2g2bSAkdSAFd_MH_g',2.0,3.0,77
89,b'lBNPDcSvmUbq7W69HvmRTA',2.0,1.5,15
90,b'U1ZVgF-kfkvv_rcoe0RglQ',1.0,4.5,172
91,b'FfI9FOaQqzUxixw6_glt3Q',2.0,3.0,6
92,b'3b4efqz06QrLQ_w2xLc4pA',2.0,3.0,40
93,b'dPxZI9lrKTl5dvFfnb1_Ig',2.0,4.5,210
94,b'LrYSnxLKarkzeNHqq50r-A',2.0,4.0,22
95,b'RAUI7uwpMP6dlcHXkavwHg',2.0,3.0,23
96,b'irYAkavSVtIEyGOsHK-yPw',2.0,3.5,43
97,b'K8dYoXbGDWJr_vSlVwDN1A',,2.5,4
98,b'fUOY7g6JcO0m3iZNfK0O0g',2.0,3.0,32
99,b'WfB_SsYeKy83QQsqAAyGVQ',,4.5,5
100,b'mFE7N0p3f_7vcMTUy76ifw',2.0,3.5,49
101,b'YgPz8vB7tw1B61qi_NLP9w',2.0,4.0,18
102,b'btRo30YqzXeTbgxk6gnLMw',2.0,1.5,3
103,b'75MOveOQwQYbKR02rULdHA',2.0,3.5,5
