business_id,is_open,review_count,city,stars,review_scale,score
b'spDZkD6cp0JUUm6ghIWHzA',1,80,b'Markham',3.0,4,12.0
b'gIVjdDWRnS1yDVpPF3oUeg',1,8,b'Markham',4.0,2,8.0
b'E4I_MLoRNwLCZ8mHr4fRpQ',1,5,b'Markham',3.5,1,3.5
b'lrm8hNDtwd5Wd0tVjOgCyw',1,55,b'Markham',3.5,4,14.0
b'qwlsGR-pJb6xMWJBqiNIQw',1,34,b'Markham',3.5,3,10.5
b'M-rqZ56wTGSNoIIsBSlhDA',0,34,b'Markham',3.0,3,9.0
b'-DtaPJJ-beogNkDKusGhlA',0,36,b'Markham',3.5,3,10.5
b'hPTx2Y5e4Czbr21XcbDN8g',1,196,b'Markham',4.0,4,16.0
b'8v7nrjG5K0cMleIP4Kit-w',1,32,b'Markham',3.0,3,9.0
b'z5V7wTtLB2QYCUWlB4rNLQ',0,13,b'Markham',2.5,2,5.0
b'AnooUWnq68nDpMjXf2n4_g',0,9,b'Markham',3.5,2,7.0
b'0PM5oFKO29sZmL5efmHxug',1,109,b'Markham',3.5,4,14.0
b'XAKZ6ADzAvK_IaFojW4wpA',1,28,b'Markham',3.0,3,9.0
b'gh0mBl_SBZ6kX9mYMq-R5g',1,118,b'Markham',3.0,4,12.0
b'yefjEAyoNfHj43tz_5hhHQ',1,7,b'Markham',3.5,1,3.5
b's38vKr-DGXMXuTkUic2qoA',1,29,b'Markham',3.0,3,9.0
b'CkDonyHqcSw9b-mXgNc4TA',0,7,b'Markham',3.5,1,3.5
b'co5IBdTsoNWCRch-UzmXCg',1,34,b'Markham',4.0,3,12.0
b'W_nU2qtu1AEDDCgkCo0gJg',1,118,b'Markham',3.5,4,14.0
b'JMRJxV9PxIT78ticltqm9g',1,11,b'Markham',3.5,2,7.0
b'bPLyOh-ul8azUSgZmyR2vg',1,30,b'Markham',2.5,3,7.5
b'_YoPC6DmYegxbPiKIoAKoA',1,9,b'Markham',3.0,2,6.0
b'zkU-WMio8g6dpRJ2Y2xqvQ',1,78,b'Markham',3.5,4,14.0
b'0tAbgK3TT6bNHtT4KOHZCQ',0,13,b'Markham',4.5,2,9.0
b'hfeu3UZ-OrCgf5mp6RBjvA',1,9,b'Markham',3.0,2,6.0
b'UkWme3kwg6L9rd4tCNB15w',1,255,b'Markham',3.5,4,14.0
b'l9RbdvFj3d5SPtyKfobyVA',1,12,b'Markham',2.0,2,4.0
b'TPdaLEGufV5JnONni8u9fw',0,11,b'Markham',3.5,2,7.0
b'7P0po-W1w7lKqJGG8UfPgg',0,7,b'Markham',3.5,1,3.5
b'Si_gSXVFFD8MxjtQhlIGdA',1,6,b'Markham',3.0,1,3.0
b'MZ4EEf4VtkeSJURIGgp2AQ',1,38,b'Markham',4.0,3,12.0
b'OyutYVBEA505HnCnMEaXMw',0,3,b'Markham',3.0,1,3.0
b'ZOAid_xX3q85wAkBWtFDPg',1,52,b'Markham',3.5,4,14.0
b'fnLiPkJL0ur4-pS99bgqGA',0,79,b'Markham',3.5,4,14.0
b'rkTFLIt_Z1bYMIuXfSyAqg',1,56,b'Markham',3.5,4,14.0
b'Ns1BTbRzP-fH1VdAfe7A1g',1,5,b'Markham',2.0,1,2.0
b'Hm2YntlJzqP4reNZRlkCEA',1,53,b'Markham',3.0,4,12.0
b'_jT1b-OdicvJ9LyKj_M1Ww',0,72,b'Markham',2.5,4,10.0
b'XCxxPZ3Lu5mwmIo7IQRf1g',1,261,b'Markham',4.0,4,16.0
b'f3gE6ZZFd7jRBjTVgt-mAg',1,265,b'Markham',4.0,4,16.0
b'YFvnkR2XXeU6Qz9dY4ZaEw',1,5,b'Markham',4.5,1,4.5
b'Y3nnWbotYR0hyQPMjXcyvQ',1,6,b'Markham',3.0,1,3.0
b'ERjDXFk2J7RprGrOEDR0LQ',1,21,b'Markham',3.5,3,10.5
b'O4S3FeO_YM06AsUln5YXxA',1,86,b'Markham',3.5,4,14.0
b'8jl0zzTGajfSDpdVDPYn6Q',1,66,b'Markham',3.0,4,12.0
b'bNqBMZ00lnhhfxzV8OhLfQ',1,151,b'Markham',4.0,4,16.0
b'uAPGFNU16g4A2FjDLok4Iw',1,49,b'Markham',3.0,4,12.0
b'IvFdi-vp823dTAWwHMT6xQ',1,14,b'Markham',2.5,2,5.0
b'udieC6Fa-XMlZhGTTF_RPQ',0,29,b'Markham',3.0,3,9.0
b'YNpwfdqBeP6j8aFrJp2sQw',1,155,b'Markham',3.5,4,14.0
b'oJYqV8s_Y5y_mNC-38KELA',1,142,b'Markham',3.5,4,14.0
b'zxy7kNPVHsqmKKn7fmGnQA',0,14,b'Markham',3.0,2,6.0
b'irCBE0vRZ9oQZ26qMR-5HA',1,19,b'Markham',2.0,3,6.0
b'eh9e2wfsXNRa4BgVSXUu7g',1,17,b'Markham',3.5,2,7.0
b'4Yi3mOofceLVKxiGDPBqMw',1,13,b'Markham',3.0,2,6.0
b'sTPdrChccIZ-37G9CNUvSQ',0,23,b'Markham',3.0,3,9.0
b'C_MKyyEaJVUTldNujrnTZQ',1,18,b'Markham',2.0,2,4.0
b'zs710LuQ8y10YsQHIjxjyw',1,79,b'Markham',3.5,4,14.0
b'821Xtr_wwXqDc_ljjy5p6w',1,24,b'Markham',3.0,3,9.0
b'u23C6gXl83XN7rzCTwtFWA',0,7,b'Markham',3.5,1,3.5
b'9ok8nLK-8emYWbt6kwd-HA',1,54,b'Markham',3.5,4,14.0
b'GQ9JTpWWJuN4PFRXLbKFUw',0,12,b'Markham',3.0,2,6.0
b'PTPd2xamYtUCH00NqML-YA',0,14,b'Markham',3.0,2,6.0
b'PKtGDWdu2xcuzVzq9j6ZyQ',0,3,b'Markham',3.5,1,3.5
b'AEDMHHsQ9FWb6hiv_RaQMQ',1,11,b'Markham',2.5,2,5.0
b'oLS0qczitIoiYSpfKOZ3jQ',1,7,b'Markham',3.5,1,3.5
b'hHYG2qoMId-y-HRkwNHoWQ',0,20,b'Markham',3.0,3,9.0
b'uD5sNIRgl1MKUKtydL9kkA',0,20,b'Markham',2.0,3,6.0
b'XlqnI6vcZUJ2tRFwjYKzcg',1,18,b'Markham',3.0,2,6.0
b'9q_O836mXia6Lqkirl2Ynw',1,6,b'Markham',4.0,1,4.0
b'qyLjLT8WqUQWRyUKeSxu8g',1,17,b'Markham',3.0,2,6.0
b'toHDiu9Jk856aBx4jgsU4g',0,8,b'Markham',2.5,2,5.0
b'6mAyUJE0DI11jH-k7MX80A',1,32,b'Markham',3.0,3,9.0
b'gCr_bfJG-c8Al3UADWBClg',1,4,b'Markham',3.5,1,3.5
b'nDfKGbSGIsPv-q0-s-GrVQ',0,14,b'Markham',2.0,2,4.0
b'zBd5JvFWuMGlnCYLaGsXZg',1,123,b'Markham',4.0,4,16.0
b'LDZL1lr2VqJaspKroDqZHQ',1,13,b'Markham',2.5,2,5.0
b'm5TwCxoYp-JcDsbepb7few',1,21,b'Markham',4.0,3,12.0
b'6ThiBVRWO3alyc7WJ9TMmw',1,6,b'Markham',3.5,1,3.5
